net,length_um
net407,373.13µm
_07103_,373.06µm
_15492_,372.92µm
chacha_unit.U_QR_COL_1.in_b\[12\],372.86µm
chacha_unit.U_QR_COL_0.in_c\[28\],372.68µm
_05047_,372.21µm
_04139_,372.13µm
_05257_,371.94µm
_15599_,371.7µm
_12918_,371.43µm
_15557_,371.42µm
net618,370.93µm
net885,370.73µm
_12990_,370.7µm
_03719_,370.51µm
net548,370.49µm
net194,370.005µm
chacha_unit.U_QR_COL_3.in_c\[22\],369.86µm
net1256,369.23µm
_12945_,369.06µm
net546,368.57µm
net1363,368.38µm
net468,368.035µm
_06485_,368.02µm
net589,367.48µm
_11275_,367.39µm
net350,367.24µm
_13055_,367.19µm
_03372_,367.16µm
clknet_5_23__leaf_clk,367.06µm
_12360_,366.86µm
chacha_unit.U_QR_COL_3.in_a\[26\],366.66µm
net357,366.38µm
_06834_,366.07µm
_12600_,366µm
net399,365.26µm
_11297_,364.93µm
net1812,364.88µm
_03727_,364.75µm
chacha_unit.U_QR_COL_0.in_b\[26\],364.475µm
net654,364.31µm
_04791_,364.04µm
_05819_,364.03µm
chacha_unit.U_QR_COL_3.in_b\[11\],364µm
chacha_unit.key\[189\],363.9µm
_14965_,363.88µm
_06636_,363.75µm
_03632_,363.74µm
clknet_5_30__leaf_clk,363.22µm
net1082,363.09µm
net199,362.9µm
net724,362.67µm
chacha_unit.U_QR_COL_1.in_d\[11\],362.585µm
net186,362.48µm
net300,362.425µm
net343,361.94µm
net721,361.59µm
net390,361.41µm
net1343,361.27µm
net1077,361.24µm
_08957_,360.78µm
net395,360.54µm
net612,360.54µm
chacha_unit.U_QR_COL_1.in_c\[11\],360.09µm
_06948_,359.86µm
_14911_,359.58µm
_11036_,359.52µm
chacha_unit.U_QR_COL_0.in_c\[26\],359.09µm
_13295_,359.05µm
_12148_,358.88µm
net345,358.4µm
net315,357.32µm
net398,357.22µm
_04018_,357.2µm
net1237,357.1µm
net159,356.82µm
_04808_,356.8µm
_13062_,356.72µm
_11276_,356.52µm
_04439_,355.67µm
chacha_unit.U_QR_COL_1.in_d\[10\],354.405µm
net1032,354.34µm
net406,354.02µm
_12143_,353.98µm
net417,353.97µm
net156,353.96µm
net334,353.94µm
net547,353.64µm
net439,353.56µm
_06943_,353.48µm
_04135_,353.47µm
_07032_,353.42µm
net562,353.22µm
_11281_,353.06µm
net836,352.85µm
_11282_,352.54µm
_03966_,352.41µm
chacha_unit.U_QR_COL_1.in_a\[7\],352µm
chacha_unit.U_QR_COL_1.in_b\[24\],351.96µm
net189,351.82µm
_03879_,351.8µm
_11728_,351.78µm
_11277_,351.24µm
_05790_,351.095µm
_03383_,351.09µm
_04704_,350.94µm
chacha_unit.nonce\[0\],350.93µm
chacha_unit.U_QR_COL_1.in_b\[27\],350.76µm
net792,350.735µm
net625,350.48µm
_04117_,349.8µm
chacha_unit.U_QR_COL_3.in_a\[18\],349.36µm
chacha_unit.U_QR_COL_0.in_d\[17\],349.3µm
net1538,349.3µm
_07110_,349.17µm
net1075,349.09µm
net161,349.02µm
_03156_,348.78µm
net176,348.52µm
chacha_unit.U_QR_COL_3.in_a\[16\],348.5µm
net712,347.98µm
chacha_unit.nonce\[51\],347.76µm
_06489_,347.75µm
_04742_,347.38µm
_03692_,347.37µm
_04063_,347.25µm
net810,346.96µm
_14833_,346.76µm
chacha_unit.U_QR_COL_3.in_d\[17\],346.65µm
_12104_,346.42µm
net1031,346.38µm
_06152_,346.21µm
chacha_unit.U_QR_COL_1.in_d\[12\],345.695µm
net680,345.5µm
chacha_unit.key\[106\],345.35µm
chacha_unit.key\[184\],345.23µm
chacha_unit.U_QR_COL_3.in_a\[20\],345.1µm
net428,345.05µm
net293,344.74µm
net446,344.56µm
chacha_unit.U_QR_COL_3.in_a\[25\],344.52µm
_11284_,344.49µm
_12369_,344.23µm
chacha_unit.U_QR_COL_1.in_d\[8\],343.96µm
chacha_unit.U_QR_COL_1.in_a\[31\],343.86µm
_04706_,343.84µm
_04112_,343.82µm
chacha_unit.key\[20\],343.82µm
_06154_,343.72µm
net610,343.54µm
_03492_,343.52µm
_15559_,343.39µm
net1056,343.32µm
chacha_unit.U_QR_COL_3.in_c\[21\],343.25µm
_12109_,342.86µm
chacha_unit.U_QR_COL_3.in_c\[20\],342.44µm
_04812_,342.3µm
_12934_,342.01µm
_04708_,341.92µm
net1058,341.26µm
net364,341.255µm
_13974_,340.92µm
_12687_,340.73µm
_04825_,340.63µm
net292,340.26µm
net450,340.16µm
chacha_unit.U_QR_COL_0.in_c\[27\],340.12µm
clknet_5_31__leaf_clk,339.86µm
_03451_,339.83µm
_03376_,339.61µm
_05089_,339.52µm
_05091_,339.48µm
net290,339.44µm
_03129_,339.17µm
_13973_,338.93µm
_04289_,338.9µm
net1235,338.71µm
_05831_,338.43µm
_15126_,337.99µm
net172,337.99µm
net1756,337.95µm
_04444_,337.89µm
net835,337.7µm
_12913_,337.55µm
net235,337.51µm
_13705_,337.33µm
net832,337.16µm
chacha_unit.U_QR_COL_1.in_d\[13\],337.145µm
_03991_,337.11µm
_04408_,337.1µm
chacha_unit.U_QR_COL_3.in_b\[10\],336.96µm
_13522_,336.65µm
chacha_unit.U_QR_COL_0.in_c\[24\],336.615µm
net339,336.48µm
chacha_unit.U_QR_COL_3.in_a\[31\],336.38µm
net1084,336.38µm
chacha_unit.nonce\[23\],336.36µm
_15612_,336.15µm
net340,336.07µm
_03841_,336.03µm
chacha_unit.key\[10\],335.87µm
net297,335.72µm
net814,335.66µm
_12857_,335.36µm
net260,335.28µm
net1234,335.2µm
_12473_,335.19µm
_07114_,335.1µm
net427,335.09µm
net1516,335.08µm
_06993_,334.97µm
chacha_unit.U_QR_COL_2.in_d\[8\],334.9µm
net1472,334.77µm
chacha_unit.U_QR_COL_3.in_a\[28\],334.7µm
net613,334.66µm
_05095_,334.42µm
_12686_,334.35µm
_03516_,334.27µm
clknet_5_2__leaf_clk,334.12µm
net1743,333.9µm
net304,333.88µm
_11301_,333.76µm
net270,333.48µm
_03847_,332.86µm
chacha_unit.U_QR_COL_2.in_b\[21\],332.62µm
_03832_,332.4µm
net1065,332.38µm
_14924_,332.27µm
net171,332.16µm
net1774,332.12µm
_05480_,332µm
_04931_,331.85µm
net216,331.58µm
net181,331.575µm
_14261_,331.43µm
_04029_,331.4µm
net1042,330.79µm
net153,330.59µm
net1805,330.585µm
_04415_,330.16µm
net289,329.33µm
chacha_unit.U_QR_COL_1.in_d\[9\],329.22µm
net1925,329.18µm
_04290_,329.12µm
net1243,328.83µm
net166,328.74µm
_05393_,328.565µm
chacha_unit.U_QR_COL_1.in_a\[4\],328.5µm
net324,328.49µm
net441,328.44µm
chacha_unit.U_QR_COL_3.in_a\[17\],328.36µm
net794,328.28µm
_03446_,328.27µm
net1750,328.18µm
_07116_,328.16µm
_03724_,328.04µm
_03139_,327.88µm
chacha_unit.U_QR_COL_0.in_d\[18\],327.72µm
net295,327.59µm
chacha_unit.U_QR_COL_0.in_c\[29\],327.44µm
net220,327.315µm
_04060_,327.08µm
_03878_,327.02µm
net379,326.84µm
_11271_,326.74µm
net1749,326.4µm
net791,326.37µm
chacha_unit.U_QR_COL_0.in_c\[25\],326.295µm
_07101_,325.97µm
net286,325.94µm
_04606_,325.91µm
net793,325.82µm
net834,325.76µm
net284,325.4µm
net373,325.385µm
_12394_,325.18µm
chacha_unit.U_QR_COL_1.in_b\[26\],325.02µm
net414,324.59µm
net637,324.49µm
_03875_,324.4µm
chacha_unit.U_QR_COL_1.in_a\[3\],324.37µm
_06953_,324.33µm
_04127_,324.3µm
_11042_,324.285µm
chacha_unit.key\[120\],324.13µm
chacha_unit.key\[3\],324.06µm
_13358_,323.87µm
net1732,323.84µm
net1066,323.82µm
_06824_,323.66µm
net247,323.48µm
net1106,323.43µm
_14384_,323.39µm
chacha_unit.U_QR_COL_3.in_b\[29\],323.34µm
_11272_,323.3µm
chacha_unit.U_QR_COL_2.in_d\[5\],323.15µm
net861,323.06µm
_15151_,322.78µm
net307,322.58µm
net229,322.5µm
_13223_,322.44µm
_14552_,322.39µm
net352,322.24µm
net223,322.14µm
net302,322.08µm
net1227,322.02µm
net265,321.92µm
net240,321.76µm
_06936_,321.32µm
net1354,321.19µm
_03125_,321.11µm
chacha_unit.U_QR_COL_0.in_d\[31\],321.09µm
_06005_,321.04µm
_04312_,321.03µm
_14163_,321µm
_13499_,320.9µm
_04316_,320.82µm
net1740,320.66µm
net230,320.56µm
_04149_,320.44µm
_12893_,320.43µm
net853,320.27µm
_14841_,320.18µm
net1746,320.115µm
_14535_,320.055µm
net154,320.05µm
net561,319.92µm
_13627_,319.75µm
net1719,319.73µm
net864,319.65µm
_15589_,319.5µm
net1845,319.345µm
_03883_,319.17µm
net1083,319.16µm
net788,318.96µm
net1040,318.91µm
net980,318.885µm
_04007_,318.83µm
_05096_,318.5µm
net361,318.32µm
_05046_,317.94µm
_05088_,317.9µm
net253,317.69µm
net170,317.68µm
net1030,317.61µm
net615,317.44µm
_05636_,317.31µm
net310,317.3µm
_05801_,317.21µm
_04885_,317.17µm
_06804_,317.16µm
_13600_,317.16µm
net442,317.12µm
_04308_,317.08µm
clknet_5_7__leaf_clk,316.96µm
net535,316.75µm
net1236,316.71µm
_05488_,316.68µm
net609,316.6µm
_14524_,316.23µm
net817,316.03µm
chacha_unit.key\[171\],315.86µm
chacha_unit.U_QR_COL_1.in_b\[9\],315.84µm
net1565,315.34µm
net280,314.88µm
net616,314.48µm
_03148_,314.32µm
_04338_,314.02µm
net331,313.7µm
net394,313.63µm
_06890_,313.56µm
_04856_,313.54µm
_05005_,313.44µm
_14167_,313.36µm
_05659_,313.28µm
_14376_,312.82µm
_14500_,312.66µm
_03712_,312.52µm
_07109_,312.14µm
_03835_,312.11µm
_14436_,312.08µm
net831,312.08µm
net374,312µm
net272,311.86µm
_13504_,311.85µm
_05783_,311.82µm
net262,311.82µm
_13987_,311.79µm
_06923_,311.59µm
chacha_unit.U_QR_COL_0.in_d\[30\],311.45µm
_09561_,311.37µm
net271,311.14µm
net218,310.94µm
net360,310.9µm
net377,310.66µm
_05869_,310.62µm
_13691_,310.51µm
net217,310.365µm
_12971_,310.26µm
net435,310.21µm
net261,310.02µm
_05865_,310.01µm
_11730_,309.8µm
_04677_,309.43µm
net257,309.39µm
_04815_,309.24µm
net1730,309.19µm
_03344_,308.95µm
net1721,308.88µm
_04409_,308.67µm
_11905_,308.48µm
_04136_,308.36µm
net168,308.36µm
net221,308.18µm
net296,308.07µm
_06916_,307.69µm
_04525_,307.59µm
net314,307.5µm
_04845_,307.46µm
chacha_unit.U_QR_COL_0.in_d\[15\],307.25µm
_14719_,307µm
_05832_,306.98µm
_12330_,306.72µm
net1043,306.64µm
net1054,306.64µm
net388,306.59µm
net716,306.56µm
chacha_unit.U_QR_COL_1.in_b\[7\],306.38µm
chacha_unit.U_QR_COL_2.in_d\[7\],306.37µm
chacha_unit.U_QR_COL_3.in_b\[17\],306.29µm
net327,306.19µm
_04416_,306.04µm
_13609_,305.81µm
_03321_,305.8µm
_09826_,305.7µm
chacha_unit.U_QR_COL_0.in_b\[12\],305.68µm
chacha_unit.U_QR_COL_3.in_d\[18\],305.57µm
_12427_,305.56µm
_14275_,305.33µm
chacha_unit.U_QR_COL_3.in_a\[24\],305.22µm
net285,305.13µm
chacha_unit.U_QR_COL_3.in_a\[19\],305.06µm
_03865_,305.04µm
_06366_,305.01µm
_11294_,304.75µm
chacha_unit.U_QR_COL_3.in_d\[24\],304.74µm
_05180_,304.72µm
_14279_,304.535µm
_04427_,304.46µm
net434,304.265µm
net463,304.18µm
_04122_,304.07µm
_12832_,304.06µm
_13988_,304.01µm
net1333,303.57µm
net1737,303.42µm
_07303_,303.26µm
net410,303.2µm
net401,303.17µm
net298,303.06µm
_04485_,302.87µm
chacha_unit.key\[178\],302.74µm
_04443_,302.7µm
net1024,302.69µm
_12809_,302.66µm
net256,302.48µm
chacha_unit.U_QR_COL_1.in_d\[16\],302.44µm
chacha_unit.key\[191\],302.43µm
_13638_,302.38µm
_05809_,302.27µm
net369,302.04µm
_04805_,301.78µm
net245,301.66µm
net1028,301.32µm
chacha_unit.key\[176\],301.31µm
_04877_,301.1µm
_03640_,300.86µm
_12593_,300.85µm
net436,300.62µm
_13510_,300.56µm
net239,300.56µm
net607,300.42µm
net250,300.36µm
_04432_,300.35µm
_05366_,300.22µm
net1720,300.16µm
net291,300.02µm
_06897_,300µm
net227,299.94µm
_04394_,299.92µm
net219,299.85µm
_04148_,299.76µm
_05780_,299.62µm
net760,299.6µm
net1076,299.58µm
chacha_unit.U_QR_COL_1.in_d\[25\],299.54µm
chacha_unit.U_QR_COL_2.in_d\[21\],299.47µm
_04738_,299.39µm
chacha_unit.U_QR_COL_0.in_d\[28\],299.33µm
chacha_unit.U_QR_COL_2.in_a\[28\],299.2µm
_05092_,299.16µm
_05037_,298.97µm
_06827_,298.74µm
net1758,298.7µm
_02983_,298.68µm
net279,298.56µm
_05805_,298.39µm
net1367,298.26µm
_13697_,297.99µm
_05823_,297.92µm
_14156_,297.85µm
net301,297.82µm
_06783_,297.66µm
net1327,297.56µm
_05256_,297.48µm
_06913_,297.44µm
net190,297.435µm
net1050,297.1µm
_12719_,297.02µm
_05084_,296.85µm
_06022_,296.49µm
chacha_unit.U_QR_COL_3.in_d\[20\],296.34µm
_13105_,296.22µm
chacha_unit.ciphertext\[409\],296.12µm
chacha_unit.nonce\[28\],295.98µm
_04041_,295.89µm
net259,295.84µm
chacha_unit.U_QR_COL_2.in_a\[27\],295.8µm
net241,295.775µm
net1559,295.62µm
_04395_,295.61µm
net611,295.58µm
_04863_,295.52µm
chacha_unit.U_QR_COL_0.in_c\[30\],295.445µm
_09904_,295.41µm
net479,295.24µm
_04398_,294.96µm
net440,294.93µm
net420,294.51µm
_04140_,294.47µm
_04144_,294.42µm
_05852_,294.35µm
net372,294.27µm
_04336_,293.91µm
chacha_unit.U_QR_COL_1.in_d\[14\],293.9µm
_06920_,293.89µm
net341,293.88µm
_06821_,293.84µm
net381,293.82µm
_13913_,293.68µm
net1709,293.56µm
chacha_unit.nonce\[16\],293.55µm
_06649_,293.41µm
_11285_,293.28µm
_04671_,293.18µm
net1249,293.08µm
_06992_,293.06µm
_04980_,293.04µm
net393,293.02µm
_12717_,292.93µm
_04132_,292.77µm
net529,292.765µm
net1046,292.545µm
_14151_,292.54µm
_14254_,292.54µm
_05231_,292.48µm
_14267_,292.31µm
_03371_,292.3µm
net246,292.22µm
net313,291.92µm
net1349,291.86µm
_04652_,291.8µm
net1465,291.77µm
clknet_5_18__leaf_clk,291.57µm
chacha_unit.U_QR_COL_1.in_d\[15\],291.55µm
net164,291.46µm
net1064,291.27µm
chacha_unit.ciphertext\[25\],291.24µm
net796,290.86µm
_11725_,290.82µm
_06119_,290.63µm
_04365_,290.58µm
_04995_,290.53µm
chacha_unit.U_QR_COL_3.in_b\[31\],290.48µm
_09127_,290.23µm
net1591,290.21µm
net1452,290.16µm
_14320_,290.08µm
_07236_,290.02µm
net175,289.53µm
_15239_,289.32µm
net342,289.3µm
net287,289µm
net438,288.96µm
chacha_unit.nonce\[30\],288.87µm
_07035_,288.76µm
net739,288.68µm
net1321,288.52µm
net251,288.5µm
_15350_,288.26µm
net376,288.02µm
chacha_unit.U_QR_COL_3.in_d\[19\],287.975µm
_11290_,287.945µm
_12794_,287.93µm
net925,287.72µm
_12636_,287.33µm
clknet_5_9__leaf_clk,287.32µm
chacha_unit.U_QR_COL_3.in_d\[25\],287.28µm
chacha_unit.nonce\[29\],287.24µm
_04819_,287.19µm
chacha_unit.U_QR_COL_0.in_d\[19\],287.17µm
net873,287.16µm
_15550_,286.78µm
net226,286.7µm
chacha_unit.U_QR_COL_3.in_b\[18\],286.55µm
_06374_,286.52µm
net632,286.45µm
net174,286.39µm
_13662_,286.29µm
net228,286.26µm
_03874_,286.24µm
chacha_unit.U_QR_COL_1.in_c\[9\],286.14µm
_06045_,286.01µm
chacha_unit.U_QR_COL_0.in_b\[29\],285.945µm
net1242,285.92µm
_12782_,285.9µm
chacha_unit.U_QR_COL_2.in_b\[23\],285.84µm
net274,285.76µm
net264,285.64µm
net647,285.54µm
_04438_,285.36µm
net311,285.1µm
_04421_,285.08µm
net1049,284.82µm
chacha_unit.U_QR_COL_1.in_a\[14\],284.53µm
net225,284.41µm
_14494_,284.34µm
chacha_unit.U_QR_COL_3.in_d\[27\],284.33µm
_06629_,284.06µm
net601,283.9µm
net766,283.75µm
net798,283.67µm
net266,283.6µm
_12846_,283.5µm
net899,283.48µm
net614,283.3µm
net258,283.12µm
_04319_,282.81µm
net1238,282.72µm
chacha_unit.key\[187\],282.47µm
_05042_,282.46µm
_06621_,282.34µm
net710,282.28µm
net1336,281.82µm
net1722,281.56µm
_04519_,281.47µm
_06590_,280.58µm
net623,280.58µm
_04753_,280.48µm
net371,280.48µm
_03615_,280.365µm
_13433_,280.32µm
net1079,280.28µm
_08911_,280.25µm
_12884_,280.01µm
chacha_unit.U_QR_COL_2.in_d\[4\],279.94µm
net1511,279.79µm
_03450_,279.76µm
net1348,279.74µm
_05884_,279.73µm
_05227_,279.48µm
_05811_,279.36µm
chacha_unit.key\[179\],279.36µm
chacha_unit.U_QR_COL_2.in_a\[26\],279.19µm
_05034_,279.17µm
_11102_,279.035µm
net536,278.995µm
_04814_,278.94µm
_03638_,278.92µm
_04307_,278.675µm
_13219_,278.54µm
_11910_,278.48µm
_05794_,278.34µm
_14037_,278.2µm
chacha_unit.U_QR_COL_1.in_c\[7\],278.04µm
net608,277.96µm
net1726,277.34µm
_13932_,277.28µm
chacha_unit.U_QR_COL_0.in_d\[20\],277.07µm
net1041,276.96µm
net1226,276.94µm
net484,276.84µm
chacha_unit.U_QR_COL_2.in_d\[20\],276.795µm
_13690_,276.77µm
_13560_,276.72µm
_06285_,276.58µm
_14803_,276.49µm
_04399_,276.36µm
_03143_,276.18µm
_03399_,275.88µm
_14171_,275.87µm
_04131_,275.85µm
_05848_,275.48µm
chacha_unit.U_QR_COL_0.in_a\[18\],275.46µm
chacha_unit.U_QR_COL_1.in_b\[22\],275.42µm
net236,275.24µm
_06501_,275.2µm
_03407_,275.17µm
net275,274.84µm
net365,274.62µm
chacha_unit.U_QR_COL_3.in_b\[19\],274.6µm
_07021_,274.56µm
_05777_,274.38µm
_12776_,274.28µm
_04521_,274.13µm
_06275_,273.63µm
_15482_,273.46µm
chacha_unit.key\[112\],273.34µm
trng_inst.shift_reg\[7\],273.335µm
chacha_unit.U_QR_COL_1.in_d\[4\],272.935µm
chacha_unit.U_QR_COL_3.in_b\[28\],272.93µm
chacha_unit.U_QR_COL_1.in_c\[4\],272.895µm
net714,272.86µm
chacha_unit.U_QR_COL_3.in_a\[22\],272.72µm
_05719_,272.48µm
chacha_unit.U_QR_COL_2.in_a\[29\],272.38µm
chacha_unit.U_QR_COL_0.in_d\[22\],272.16µm
clknet_5_8__leaf_clk,272.08µm
net1598,272.07µm
chacha_unit.U_QR_COL_0.in_d\[29\],272.02µm
_07057_,271.58µm
net1599,271.42µm
_06711_,271.2µm
chacha_unit.U_QR_COL_0.in_a\[17\],270.92µm
chacha_unit.U_QR_COL_0.in_c\[31\],270.92µm
chacha_unit.ciphertext\[27\],270.68µm
chacha_unit.U_QR_COL_1.in_c\[10\],270.6µm
_13043_,270.58µm
_03820_,270.52µm
_04371_,270.46µm
_03543_,270.24µm
_03445_,270.23µm
net945,270.22µm
net513,269.86µm
_12878_,269.685µm
chacha_unit.U_QR_COL_0.in_d\[21\],269.685µm
_13049_,269.65µm
_06863_,269.48µm
_14739_,269.26µm
net880,268.955µm
net875,268.91µm
_05524_,268.69µm
_11287_,268.46µm
_12873_,268.31µm
net771,268.15µm
chacha_unit.U_QR_COL_3.in_b\[30\],268.08µm
chacha_unit.U_QR_COL_1.in_c\[12\],267.98µm
chacha_unit.key\[2\],267.92µm
chacha_unit.U_QR_COL_3.in_a\[21\],267.9µm
net380,267.78µm
_05036_,267.76µm
_11700_,267.6µm
_06955_,267.23µm
_04348_,267.04µm
net294,266.92µm
net1038,266.36µm
_03419_,266.34µm
net882,266.335µm
net248,266.26µm
_05030_,266.22µm
net206,265.86µm
net998,265.7µm
net267,265.55µm
_14836_,265.46µm
_04996_,265.2µm
_14743_,265.08µm
_14687_,264.94µm
_13636_,264.86µm
net282,264.62µm
_09890_,264.55µm
_13726_,264.47µm
_05024_,264.46µm
_03707_,264.3µm
net1015,264.105µm
chacha_unit.ciphertext\[411\],264.08µm
net202,264µm
_14710_,263.94µm
_07289_,263.89µm
net1762,263.88µm
net725,263.76µm
_14733_,263.62µm
net850,263.42µm
_15284_,263.41µm
net678,263.36µm
_12849_,263.2µm
_05033_,263.09µm
net1265,263.02µm
net1368,262.88µm
_13367_,262.86µm
net621,262.59µm
chacha_unit.U_QR_COL_2.in_a\[30\],262.58µm
_03151_,262.24µm
net877,262.23µm
_15189_,262.2µm
net1515,262.19µm
_03009_,262.17µm
_14679_,261.93µm
_06378_,261.82µm
net844,261.73µm
net1180,261.6µm
_09770_,261.58µm
_05900_,261.47µm
chacha_unit.U_QR_COL_2.in_d\[19\],261.18µm
net322,260.6µm
_14811_,260.47µm
net169,260.42µm
_05062_,260.28µm
_06114_,260.13µm
_05771_,260.09µm
_13682_,260.09µm
net1009,260.015µm
chacha_unit.key\[1\],259.915µm
net801,259.86µm
_05016_,259.65µm
net1133,259.42µm
net1323,259.32µm
_15501_,259.3µm
_06909_,259.25µm
net1001,258.87µm
_03144_,258.82µm
_04544_,258.6µm
_05085_,258.53µm
chacha_unit.U_QR_COL_3.in_b\[25\],258.36µm
chacha_unit.key\[186\],257.92µm
_12894_,257.76µm
chacha_unit.U_QR_COL_3.in_b\[24\],257.76µm
_03351_,257.7µm
net1724,257.69µm
net799,257.59µm
_12716_,257.56µm
chacha_unit.U_QR_COL_1.in_d\[20\],257.38µm
_13324_,257.36µm
net1063,257.26µm
_03471_,257.19µm
net920,257µm
_15155_,256.97µm
chacha_unit.U_QR_COL_3.in_d\[30\],256.78µm
_03698_,256.58µm
net989,256.545µm
net662,256.54µm
chacha_unit.U_QR_COL_2.in_d\[11\],256.28µm
chacha_unit.U_QR_COL_1.in_d\[0\],256.265µm
_03315_,256.205µm
net1037,256.04µm
net1648,255.93µm
_06001_,255.88µm
chacha_unit.U_QR_COL_2.in_d\[0\],255.48µm
chacha_unit.ciphertext\[22\],255.32µm
net683,255.2µm
_05023_,255.08µm
net1353,254.99µm
_10201_,254.98µm
_05058_,254.91µm
_03010_,254.8µm
_12838_,254.8µm
net51,254.78µm
net1201,254.575µm
_12645_,254.54µm
_05153_,254.44µm
_15391_,254.39µm
net1328,254.26µm
net667,254.12µm
net726,254.04µm
net1061,253.82µm
_13325_,253.76µm
chacha_unit.U_QR_COL_0.in_a\[19\],253.7µm
net1407,253.63µm
net329,253.55µm
chacha_unit.ciphertext\[21\],253.54µm
net1755,253.47µm
net1003,253.305µm
_04345_,252.95µm
chacha_unit.U_QR_COL_1.in_c\[3\],252.915µm
chacha_unit.U_QR_COL_1.in_d\[6\],252.815µm
chacha_unit.nonce\[24\],252.63µm
_14610_,252.62µm
_04743_,252.47µm
net1189,252.38µm
_05857_,252.34µm
_05027_,251.93µm
_11108_,251.78µm
chacha_unit.U_QR_COL_0.in_d\[27\],251.635µm
_03633_,251.58µm
_03069_,251.44µm
chacha_unit.key\[183\],251.41µm
net200,251.4µm
_04480_,251.38µm
_05006_,251.34µm
_12631_,251.34µm
chacha_unit.U_QR_COL_1.in_d\[26\],251.34µm
_04961_,251.06µm
_13642_,250.94µm
chacha_unit.U_QR_COL_1.in_d\[1\],250.9µm
_13920_,250.85µm
chacha_unit.key\[161\],250.82µm
_13008_,250.65µm
net1047,250.6µm
_13091_,250.47µm
chacha_unit.key\[39\],250.42µm
chacha_unit.key\[56\],250.41µm
_04949_,250.24µm
net1415,250µm
chacha_unit.U_QR_COL_1.in_c\[5\],249.98µm
_06995_,249.9µm
_04666_,249.78µm
_13169_,249.62µm
net751,249.54µm
_14720_,249.38µm
_06833_,249.08µm
_03868_,248.84µm
_04676_,248.76µm
chacha_unit.U_QR_COL_0.in_b\[31\],248.685µm
_14819_,248.65µm
_05026_,248.64µm
net923,248.6µm
_03326_,248.54µm
_15107_,248.35µm
net953,248.26µm
net1728,248.2µm
net752,247.98µm
net1280,247.83µm
net1232,247.745µm
_05039_,247.68µm
_04944_,247.65µm
_05137_,247.54µm
_05889_,247.43µm
_12527_,247.31µm
_13917_,247.22µm
chacha_unit.U_QR_COL_3.in_b\[26\],247.005µm
_14716_,246.94µm
_13373_,246.93µm
_05730_,246.78µm
net881,246.74µm
_13717_,246.72µm
_05031_,246.7µm
net526,246.67µm
_15329_,246.64µm
_14603_,246.38µm
chacha_unit.U_QR_COL_0.in_d\[26\],246.35µm
_14641_,246.14µm
chacha_unit.nonce\[55\],246.07µm
_08261_,245.98µm
net1055,245.9µm
_03490_,245.88µm
net1643,245.83µm
_09344_,245.78µm
_06789_,245.76µm
net386,245.64µm
_13647_,245.6µm
chacha_unit.U_QR_COL_0.in_d\[25\],245.49µm
_06243_,245.42µm
_03457_,245.29µm
_13927_,245.29µm
_14109_,245.29µm
chacha_unit.U_QR_COL_1.in_d\[2\],245.26µm
_12625_,245.08µm
_11291_,245.06µm
net588,245.06µm
net534,244.97µm
_04079_,244.94µm
_14680_,244.9µm
_04922_,244.79µm
net1073,244.73µm
net263,244.72µm
_06831_,244.71µm
_12822_,244.62µm
net318,244.6µm
_12431_,244.34µm
chacha_unit.key\[164\],244.2µm
_11702_,244.1µm
chacha_unit.ciphertext\[23\],244.06µm
_13333_,244µm
_14012_,243.84µm
_05759_,243.59µm
chacha_unit.key\[162\],243.56µm
_12865_,243.4µm
net997,243.26µm
net889,243.235µm
net1718,243.12µm
_04126_,243.08µm
net1173,242.92µm
_04051_,242.91µm
chacha_unit.U_QR_COL_3.in_b\[27\],242.895µm
_05828_,242.78µm
chacha_unit.U_QR_COL_1.in_d\[19\],242.76µm
chacha_unit.U_QR_COL_2.in_d\[17\],242.68µm
_13386_,242.25µm
_05054_,242.21µm
_15619_,242.2µm
_13126_,242.16µm
net1624,242.06µm
net576,241.99µm
net1355,241.96µm
net806,241.88µm
net1283,241.86µm
net281,241.84µm
net1689,241.78µm
net1341,241.69µm
net359,241.68µm
_03470_,241.48µm
_11892_,241.44µm
chacha_unit.U_QR_COL_1.in_d\[30\],241.36µm
_14059_,241.07µm
net1742,241µm
_04758_,240.9µm
net1177,240.76µm
chacha_unit.ciphertext\[479\],240.36µm
_15224_,240.21µm
net652,240.21µm
_14523_,240.18µm
net822,240.18µm
_03155_,240µm
_03459_,239.96µm
_13542_,239.9µm
_03327_,239.88µm
net1738,239.86µm
_05747_,239.78µm
_07080_,239.78µm
_15083_,239.78µm
_12802_,239.74µm
net1231,239.74µm
net851,239.62µm
_04972_,239.54µm
net1257,239.5µm
chacha_unit.U_QR_COL_1.in_c\[21\],239.48µm
net1155,239.48µm
_15520_,239.39µm
_12084_,239.34µm
chacha_unit.U_QR_COL_1.in_d\[21\],239.285µm
_06109_,239.23µm
_04315_,239.22µm
net1029,239.08µm
_15199_,238.95µm
_04694_,238.84µm
_11701_,238.82µm
net1342,238.74µm
net1006,238.66µm
_13836_,238.415µm
_12771_,238.32µm
_04860_,238.31µm
chacha_unit.ciphertext\[17\],238.3µm
chacha_unit.U_QR_COL_1.in_c\[14\],238.115µm
_05159_,238.05µm
_13696_,238.02µm
_15030_,238.01µm
_15104_,237.64µm
net758,237.51µm
_04497_,237.48µm
net1132,237.38µm
_05607_,237.28µm
chacha_unit.U_QR_COL_2.in_d\[3\],237.26µm
_12816_,237.04µm
